layer_name,channel_index,weight_index,weight_id,baseline_value,unlearned_value,absolute_change,relative_change,rank_in_channel,channel_total_change
layer2.1.conv2.weight,51,133,layer2.1.conv2.weight_ch51_w133,0.00048484880244359374,0.03659742698073387,0.036112576723098755,74.48213958740234,8,191.0498809814453
layer2.3.conv2.weight,44,719,layer2.3.conv2.weight_ch44_w719,-0.00013661525736097246,0.009894508868455887,0.010031124576926231,73.42609405517578,5,1058.859619140625
layer2.1.conv2.weight,49,691,layer2.1.conv2.weight_ch49_w691,-0.001101201749406755,0.07306507974863052,0.07416628301143646,67.35031127929688,2,77.63973999023438
layer3.0.conv2.weight,172,962,layer3.0.conv2.weight_ch172_w962,0.00030472458456642926,-0.020114460960030556,0.020419185981154442,67.00865936279297,7,72.45894622802734
layer2.3.conv2.weight,44,300,layer2.3.conv2.weight_ch44_w300,0.00032809338881634176,0.021671755239367485,0.021343661472201347,65.05361938476562,6,1058.859619140625
layer3.1.conv3.weight,646,246,layer3.1.conv3.weight_ch646_w246,0.00023728837550152093,-0.014774815179407597,0.015012103132903576,63.265228271484375,2,99.3446273803711
layer3.0.conv2.weight,172,1772,layer3.0.conv2.weight_ch172_w1772,-0.00015213749429676682,-0.00965600274503231,0.009503865614533424,62.46892547607422,8,72.45894622802734
layer2.1.conv2.weight,51,1103,layer2.1.conv2.weight_ch51_w1103,0.00016364792827516794,-0.009911979548633099,0.010075627826154232,61.568931579589844,9,191.0498809814453
layer3.1.conv3.weight,502,164,layer3.1.conv3.weight_ch502_w164,-0.0005198780563659966,0.028907811269164085,0.02942768856883049,56.604984283447266,5,112.03736877441406
layer3.0.conv2.weight,172,1788,layer3.0.conv2.weight_ch172_w1788,-0.00022597350471187383,-0.012972056865692139,0.012746083550155163,56.40521240234375,9,72.45894622802734
layer3.3.conv2.weight,3,1705,layer3.3.conv2.weight_ch3_w1705,0.00018337125948164612,-0.009830641560256481,0.010014012455940247,54.61058807373047,6,246.599609375
layer3.0.conv2.weight,172,558,layer3.0.conv2.weight_ch172_w558,-0.0003300812968518585,0.017382310703396797,0.017712391912937164,53.66069412231445,10,72.45894622802734
layer2.1.conv2.weight,49,402,layer2.1.conv2.weight_ch49_w402,0.0007225514273159206,-0.03467985987663269,0.035402409732341766,48.99638748168945,3,77.63973999023438
layer2.1.conv2.weight,49,154,layer2.1.conv2.weight_ch49_w154,-0.00018887495389208198,0.008928686380386353,0.009117561392486095,48.27300262451172,4,77.63973999023438
layer2.1.conv2.weight,51,25,layer2.1.conv2.weight_ch51_w25,-0.0003377933462616056,0.015775009989738464,0.016112802550196648,47.70017623901367,10,191.0498809814453
layer3.3.conv2.weight,50,297,layer3.3.conv2.weight_ch50_w297,9.079888695850968e-05,-0.004008391872048378,0.004099190700799227,45.14582443237305,5,108.63851928710938
layer3.3.conv2.weight,50,2117,layer3.3.conv2.weight_ch50_w2117,0.00016364573093596846,-0.0072067612782120705,0.007370407227426767,45.03879928588867,6,108.63851928710938
layer3.1.conv3.weight,502,160,layer3.1.conv3.weight_ch502_w160,0.0009775193175300956,-0.04006905108690262,0.04104657098650932,41.99054718017578,6,112.03736877441406
layer2.1.conv2.weight,49,844,layer2.1.conv2.weight_ch49_w844,-0.0004503137315623462,0.018217727541923523,0.0186680406332016,41.455631256103516,5,77.63973999023438
layer2.1.conv2.weight,49,430,layer2.1.conv2.weight_ch49_w430,0.0005034555215388536,0.020321985706686974,0.01981852948665619,39.36500549316406,6,77.63973999023438
layer3.0.conv1.weight,119,82,layer3.0.conv1.weight_ch119_w82,-0.00024427491007372737,0.009316506795585155,0.0095607815310359,39.139434814453125,3,74.17308044433594
layer3.3.conv2.weight,50,1012,layer3.3.conv2.weight_ch50_w1012,-0.0001748792128637433,-0.006987388711422682,0.00681250961497426,38.95551300048828,7,108.63851928710938
layer3.3.conv2.weight,50,2154,layer3.3.conv2.weight_ch50_w2154,-0.0005102796712890267,0.019277166575193405,0.019787445664405823,38.77764892578125,8,108.63851928710938
layer3.1.conv3.weight,646,38,layer3.1.conv3.weight_ch646_w38,-0.0006852879305370152,-0.026852067559957504,0.026166779920458794,38.18362808227539,3,99.3446273803711
layer2.3.conv2.weight,44,989,layer2.3.conv2.weight_ch44_w989,0.0002051281335297972,0.008000047877430916,0.007794919889420271,38.000247955322266,7,1058.859619140625
layer3.1.conv3.weight,274,109,layer3.1.conv3.weight_ch274_w109,-0.0003230935544706881,-0.011848333291709423,0.011525239795446396,35.67152404785156,2,3675.7275390625
layer2.1.conv2.weight,49,97,layer2.1.conv2.weight_ch49_w97,0.0006604617810808122,0.0239547286182642,0.023294266313314438,35.2696647644043,7,77.63973999023438
layer2.1.conv2.weight,49,533,layer2.1.conv2.weight_ch49_w533,-0.00023983666324056685,-0.008623132482171059,0.008383295498788357,34.954185485839844,8,77.63973999023438
